id,地址
10731,北新路
10731,中正路
16462,介壽路
16265,安康路
16270,成泰路
16492,新坡一街
16530,興仁路
10116,和平西路
10116,圓通路
10753,木柵路
16552,汽車路
16628,新市二路
10143,木柵路
10753,北深路
10732,辛亥路
10732,木柵路
10732,辛亥路
16628,崁頂五路
16628,新市二路
10732,寶橋路
10732,辛亥路
10732,木柵路
10148,國慶街
10143,木新路
10143,木柵路
10143,木新路
10143,安康路
10116,康定路
10143,寶橋路
10143,寶橋中興路
10143,木柵路
10143,北新路
10143,木柵路
10143,信義路
10143,府路
10143,松仁路
10143,木柵路
10143,木新路
10143,寶橋路
18258,萬壽路
18258,中正路
10143,北新路
10143, 北新路
10143,安康路
10143,安祥路
10731,寶橋路
10731,辛亥路
10731,木柵路
10731,辛亥路
10731,保安路
10731,文化路
10731,竹林路
10731,永貞路
10731,永利路
10731,永元路
10731,成功路
10731,秀朗路
10731,成功路
10731,復興路
15638,成功路
10731,中正路
10731,北新路
10731,寶橋路
10731,木新路
5413,汐萬路
10281,中正路
10732,辛亥路
10732,興隆路
10732,木新路
10732,寶橋路
10732,寶橋中興路
10732,寶橋路
10732,北新路
10732,中正路
10732,景平路
5413,康寧街
10732,文化路
10732,保安路
10732,永貞路
10732,中和路
17548,安康路
10732,景平路
17548,安康路
17939,北宜路
17700,佳園路
17700,柑園街
10196,連城路
16282,文化路
16282,新生街
16282,新民街
16282,中正路
16282,濱海路
16282,沙崙路
10116,景安路
10116,南山路
10116,興南路
10116,華新街
10116,忠孝街
10116,景新街
10116,中正路
10731,基隆路
15181,安康路
10731,興隆路
10143,安康路
16282,新民街
10143,安康路
10143, 北新路
10143,北新路
10143,光明街
10143,北新路
10143,寶橋路
10143,木新路
17700,三樹路
10491,重新路
17700,佳園路
16282,新民街
16282,新生街
16282,文化路
16282,中山路
16282,中正東路
16282,中山路
10732,中正路
10732,永貞路
10732,竹林路
15181,塔悠路
15181,南京東路
15181,南京東路四段+寧安街
15181,南京東路
15181,松江路
15181,重慶南路
17518,民安東路
17700,柑園街
17700,自由街
17700,中興路
17700,中山路
17700,亞洲路
17700,中華路
10325,安康路
15181,愛國東路
10325,安康路
15181,新生北路
15181,南京東路
10325,中正路
10325,安康路
10325,玫瑰路
15181,南京東路
15181,南京東路四段+寧安街
15181,民生東路
15181,塔悠路
10325,中華路
10325,三民路
10325,民族路
15181,南京東路
15181,新生北路
15181,金山南路
15181,愛國東路
15181,重慶南路
15181,永和路
15181,中正路
10325,安康路
15181,中正路
15181,景新街
15181,安和路
10753,翠谷街
10753,北深路
16479,民安東路
15181,安康路
15181,安和路
10325,敦化北路
10325,民族路
16486,萬壽路
15181,安康路
10116,中正路
10116,重慶南路
17570,崁頂三路
10753,北深路
10753,木柵路
10753,試院路
10753,木柵路
10753,景文街
10753,景福街
10173,中和路
10161,員山路
10325,八德路
10325,敦化南路
10325,基隆路
10173,中和路
10753,景福街
15181,安和路
15181,景新街
15181,中正路
15181,永和路
15181,重慶南路
10173,中和路
17700,中央路
17700,承天路
10511,重新路
16668,和平路
16668,中山二路
16668,中山一路
16789,文昌路
10511,重新路
10772,興南路
10772,華新街
10772,忠孝街
10772,四維街
10772,景新街
10772,中正路
10772,福和路
10772,竹林路
10772,永和路
10772,福州街
10772,杭州南路
10772,仁愛路
10772,杭州南路
10511,民生西路
10511,重慶北路
10511,中山路
17832,直潭路
17832,永業路
10511,中山路
10511,樹新路
10511,民安西路
10511,民安路
10511,富國路
10511,四維路
10511,後港一路
10511,建福路
10511,中正路
10492,重新路
17832,下石厝路
17832,直潭路
10492,重新路
10492,民權東路
10492,林森北路
10492,民生東路
10492,建國北路
10492,復興北路
10492,南京東路
10492,建國北路
10492,民生東路
10492,林森北路
10492,民權西路
10492,民權西路上近大龍街
10492,重新路
10492,中正路
10511,南京西路
10511,民生西路
10511,後港一路
10511,民安路
10511,民安西路
10772,永和路
10772,中正路
10772,忠孝街
10772,華新街
