,routeId,realSequence
764,16773,99
765,17905,2
766,17711,20
767,17911,3
768,17911,3
769,17914,99
770,17914,99
771,17824,1
772,17824,1
773,17824,1
774,17790,12
775,17791,12
776,16809,99
777,16818,99
778,16829,99
779,16984,99
780,16795,99
781,16820,99
782,16811,99
783,17465,99
784,16207,66
785,17689,2
786,17689,2
787,17671,16
788,17671,16
789,17811,1
790,17812,2
791,17812,2
792,17813,6
793,17813,6
794,17814,1
795,17815,1
796,17835,2
797,17846,3
798,17846,3
799,17847,3
800,17847,3
801,17866,10
802,17866,10
803,17871,1
804,17873,2
805,17621,1
806,17720,2
807,17902,2
808,17902,2
809,17903,9
810,17903,9
811,17904,2
812,17904,2
813,16643,2
814,16643,2
815,16651,2
816,16770,99
817,16770,99
818,18168,1
819,15638,23
820,17304,39
821,16608,104
822,17526,53
823,17526,53
824,17526,53
825,17526,53
826,17526,53
827,17526,53
828,16730,2
829,16609,30
830,16697,132
831,16665,24
832,16665,24
833,16665,24
834,16515,80
835,17530,4
836,17530,4
837,17530,4
838,17530,4
839,16832,99
840,16821,99
841,16821,99
842,16847,26
843,16847,26
844,17513,10
845,17513,10
846,17941,60
847,17941,60
848,17941,60
849,17942,8
850,18042,4
851,18128,14
852,17889,60
853,17889,60
854,17889,60
855,17699,99
856,17699,99
857,17693,99
858,17919,2
859,17919,2
860,17923,5
861,17923,5
862,17970,3
863,17970,3
864,16842,99
865,17433,99
866,17433,99
867,16992,99
868,17963,3
869,17945,38
870,18158,30
871,18158,30
872,18188,3
873,18188,3
874,18258,4
875,18268,16
876,17992,2
877,17992,2
878,17996,1
879,17991,99
880,18028,1
881,18014,2
882,18014,2
883,18041,30
884,18041,30
885,18068,3
886,18078,6
887,18208,2
888,18281,30
889,18288,1
890,18118,92
891,18119,30
892,18119,30
893,17948,4
894,17623,99
895,18209,2
896,18248,14
897,18248,14
898,18318,15
899,18328,1
900,17939,2
901,17915,2
902,17916,25
903,17916,25
904,17916,25
905,17916,25
906,17917,2
907,17917,2
908,17918,2
909,17922,4
910,17922,4
911,17931,1
912,17838,55
913,17937,54
914,17937,54
915,17937,54
916,17940,78
917,17962,1
918,16929,99
919,17930,2
920,17930,2
921,17968,99
922,17971,16
923,17971,16
924,17972,16
925,17972,16
926,17972,16
927,17972,16
928,17977,11
929,17961,1
930,17990,99
931,18098,58
932,18098,58
933,18108,5
934,18108,5
935,18108,5
936,18148,14
937,18148,14
938,17806,24
939,17809,99
940,17809,99
941,17502,14
942,17958,33
943,17975,99
944,17975,99
945,16688,24
946,16688,24
947,16688,24
948,18017,1
949,16897,16
950,16897,16
951,16898,16
952,16898,16
953,16899,16
954,16899,16
955,16900,16
956,16900,16
957,16901,16
958,16901,16
959,16902,32
960,16902,32
961,18052,5
962,18054,3
963,17994,13
964,17994,13
965,18009,1
