id,地址,總班次
10453,中興路,120
10172,保安路,48
10172,保安路,48
10148,中山路,80
10453,中興路,120
10195,大學路,74
16692,成泰路,76
16656,安康路,3
15224,新春街,9
15224,新春街,9
17293,路,29
16511,文化路,20
16511,文化路,20
16511,文化路,20
17919,景平路,2
17919,景平路,2
5413,汐萬路,25
5413,康寧街,25
5413,汐萬路,25
16630,中山北路,6
15224,中山北路,9
15224,中山北路,9
15224,中山路,9
15224,中山路,9
15224,鄧公路,9
15224,鄧公路,9
15224,淡水路,9
15224,淡水路,9
5413,汐萬路,25
5413,康寧街,25
5413,伯爵街,25
5413,康寧街,25
5413,明峰街,25
5413,康寧街,25
5413,東湖路,25
5413,康寧路,25
5413,三重路,25
5413,南港路,25
5413,民大道八段興中路,25
16732,淡金路,108
16732,淡金路,108
16732,中正東路,108
16732,中正東路,108
10116,圓通路,6
10491,中正路,58
10172,莊敬路,48
10172,莊敬路,48
10116,忠孝街,6
15224,學府路,9
15224,學府路,9
10474,萬壽路,52
16282,中正路,63
17552,八連路,99
17552,八連路,99
16535,中山北路,3
10161,員山路,58
10148,大觀路,80
16731,明峰街,65
16731,中興路,65
16731,大同路,65
16462,南雅南路,99
16497,民族路,28
16731,新北市汐止區汐萬路,65
16731,汐萬路,65
16731,康寧街,65
16775,中正東路,99
16775,中正東路,99
16607,復興路,24
15224,中山北路,9
15224,中山北路,9
16642,中山路,46
16642,中山路,46
16642,中山路,46
16642,中山路,46
16642,魚桀魚坑路,46
16642,魚桀魚坑路,46
16642,魚桀魚坑路,46
16642,魚桀魚坑路,46
16642,魚桀魚路,46
16642,魚桀魚路,46
16642,魚桀魚路,46
16642,魚桀魚路,46
16642,魚桀魚坑路,46
16642,魚桀魚坑路,46
16642,魚桀魚坑路,46
16642,魚桀魚坑路,46
16642,大寮路,46
16642,大寮路,46
16642,大寮路,46
16642,大寮路,46
16642,楓仔瀨路,46
16642,楓仔瀨路,46
16642,楓仔瀨路,46
16642,楓仔瀨路,46
16644,太平路,99
16644,太平路,99
15224,稻香路,9
15224,稻香路,9
15224,中央北路,9
15224,中央北路,9
10161,金城路,58
10151,文化路,75
16732,沙崙路,108
16732,沙崙路,108
16732,淡海路,108
16732,淡海路,108
17930,指南路,2
17930,指南路,2
17930,木新路,2
17930,木新路,2
18258,萬壽路,4
16732,淡金路,108
16732,淡金路,108
16732,淡金路忠愛街,108
16732,淡金路忠愛街,108
16732,淡金路,108
16732,淡金路,108
16732,北新路,108
16732,北新路,108
10116,和平西路,6
10116,康定路,6
10116,漢口街,6
10116,中華路,6
10116,和平西路,6
10116,重慶南路,6
10116,永和路,6
10116,中正路,6
16731,大同路,65
16731,汐萬路,65
15224,中央北路,9
15224,中央北路,9
16732,北新路,108
16732,北新路,108
16732,中山北路,108
16732,中山北路,108
16732,新春路,108
16732,新春路,108
16732,新春街,108
16732,新春街,108
16732,新民街,108
16732,新民街,108
16732,中正路,108
16732,中正路,108
16732,濱海路,108
16732,濱海路,108
16732,中正路,108
16732,中正路,108
10116,景新街,6
10116,忠孝街,6
10116,南山路,6
10116,景平路,6
10116,安平路,6
10116,圓通路,6
16591,長江路,84
16591,長江路,84
16591,長江路,84
15224,中央南路,9
15224,中央南路,9
15224,三合街,9
15224,三合街,9
15224,大業路,9
15224,大業路,9
15224,中央南路,9
15224,中央南路,9
15224,中央北路,9
15224,中央北路,9
15224,稻香路,9
15224,稻香路,9
15224,學府路,9
15224,學府路,9
5413,伯爵街,25
16531,北新路,1
16732,新民街,108
16732,新民街,108
15224,中正東路,9
15224,中正東路,9
15224,中山北路,9
15224,中山北路,9
10172,連城路,48
10172,連城路,48
10148,復興路,80
10148,中山路,80
5413,南港路,25
5413,三重路,25
5413,東湖路,25
10732,復興路,46
10732,復興路,46
10732,中正路,46
10732,中正路,46
10732,北新路,46
10732,北新路,46
10732,寶橋路,46
10732,寶橋路,46
10732,木新路,46
10732,木新路,46
10732,興隆路,46
10732,興隆路,46
10281,重新路,150
10281,中正路,150
10281,龍安路,150
5413,明峰街,25
5413,康寧街,25
10731,木新路,44
10731,木新路,44
10731,寶橋路,44
10731,寶橋路,44
10731,北新路,44
10731,北新路,44
10731,中正路,44
10731,中正路,44
16462,介壽路,99
16265,安康路,94
16270,成泰路,14
16492,新坡一街,49
16492,新坡一街,49
16530,興仁路,1
10116,和平西路,6
10116,圓通路,6
10753,木柵路,9
16552,汽車路,16
16552,汽車路,16
16628,新市二路,4
10143,木柵路,156
10753,北深路,9
10732,辛亥路,46
10732,辛亥路,46
10732,木柵路,46
10732,木柵路,46
10732,辛亥路,46
10732,辛亥路,46
16628,崁頂五路,4
16628,新市二路,4
10732,寶橋路,46
10732,寶橋路,46
10732,辛亥路,46
10732,辛亥路,46
10732,木柵路,46
10732,木柵路,46
10148,國慶街,80
10143,木新路,156
10143,木柵路,156
10143,木新路,156
10143,安康路,156
10116,康定路,6
10143,寶橋路,156
10143,寶橋中興路,156
10143,木柵路,156
10143,北新路,156
10143,木柵路,156
10143,信義路,156
10143,府路,156
10143,松仁路,156
10143,木柵路,156
10143,木新路,156
10143,寶橋路,156
18258,萬壽路,4
18258,中正路,4
10143,北新路,156
10143, 北新路,156
10143,安康路,156
10143,安祥路,156
10731,寶橋路,44
10731,寶橋路,44
10731,辛亥路,44
10731,辛亥路,44
10731,木柵路,44
10731,木柵路,44
10731,辛亥路,44
10731,辛亥路,44
10731,保安路,44
10731,保安路,44
10731,文化路,44
10731,文化路,44
10731,竹林路,44
10731,竹林路,44
10731,永貞路,44
10731,永貞路,44
10731,永利路,44
10731,永利路,44
10731,永元路,44
10731,永元路,44
10731,成功路,44
10731,成功路,44
10731,秀朗路,44
10731,秀朗路,44
10731,成功路,44
10731,成功路,44
10731,復興路,44
10731,復興路,44
15638,成功路,23
10731,中正路,44
10731,中正路,44
10731,北新路,44
10731,北新路,44
10731,寶橋路,44
10731,寶橋路,44
10731,木新路,44
10731,木新路,44
5413,汐萬路,25
10281,中正路,150
10732,辛亥路,46
10732,辛亥路,46
10732,興隆路,46
10732,興隆路,46
10732,木新路,46
10732,木新路,46
10732,寶橋路,46
10732,寶橋路,46
10732,寶橋中興路,46
10732,寶橋中興路,46
10732,寶橋路,46
10732,寶橋路,46
10732,北新路,46
10732,北新路,46
10732,中正路,46
10732,中正路,46
10732,景平路,46
10732,景平路,46
5413,康寧街,25
10732,文化路,46
10732,文化路,46
10732,保安路,46
10732,保安路,46
10732,永貞路,46
10732,永貞路,46
10732,中和路,46
10732,中和路,46
17548,安康路,72
17548,安康路,72
17548,安康路,72
17548,安康路,72
10732,景平路,46
